YEAR,MONTH,LAKE,STATION,SAMPLING_DATE,"SMPL_DEPTH, m",DEPTH_CODE,QC_ID,SAMPLE_ID,TP_ug_L,rslt_flag
1984,Apr,Michigan,MI11,1984/04/10 20:49 EDT,0.91,50,RFS,84GA12S01,4.5,
1984,Apr,Michigan,MI11,1984/04/10 20:49 EDT,60.05,50,RFS,84GA12S02,4.5,
1984,Apr,Michigan,MI11,1984/04/10 20:49 EDT,114.3,450.5,RFS,84GA12S03,7,
1984,Apr,Michigan,MI11,1984/04/10 20:49 EDT,118.87,505,RFS,84GA12S04,7,
1984,Aug,Michigan,MI11,1984/08/01 11:58 EDT,0.91,100,RFS,84GA13S01,4.1,
1984,Aug,Michigan,MI11,1984/08/01 11:58 EDT,3.05,200,RFS,84GA13S02,2.2,
1984,Aug,Michigan,MI11,1984/08/01 11:58 EDT,15.24,300,RFS,84GA13S03,4.1,
1984,Aug,Michigan,MI11,1984/08/01 11:58 EDT,30.48,350,RFS,84GA13S04,15.8,
1984,Aug,Michigan,MI11,1984/08/01 11:58 EDT,111.86,450,RFS,84GA13S05,6.7,
1984,Aug,Michigan,MI11,1984/08/01 11:58 EDT,120.09,500,RFS,84GA13S06,42.1,SCF-QC
1984,Aug,Michigan,MI11,1984/08/15 05:30 EDT,0.91,100,RFS,84GA14S01,2.8,
1984,Aug,Michigan,MI11,1984/08/15 05:30 EDT,8.23,200,RFS,84GA14S02,3.4,
1984,Aug,Michigan,MI11,1984/08/15 05:30 EDT,13.72,300,RFS,84GA14S03,4.4,
1984,Aug,Michigan,MI11,1984/08/15 05:30 EDT,29.57,350,RFS,84GA14S04,8.6,
1984,Aug,Michigan,MI11,1984/08/15 05:30 EDT,101.19,400,RFS,84GA14S05,7.9,
1984,Aug,Michigan,MI11,1984/08/15 05:30 EDT,112.17,450,RFS,84GA14S06,NA,NA-QC
1984,Aug,Michigan,MI11,1984/08/15 05:30 EDT,119.79,500,RFS,84GA14S07,21.2,
1985,Apr,Michigan,MI11,1985/04/16 13:50 EDT,0.91,50,RFS,85GA02S01,4,
1985,Apr,Michigan,MI11,1985/04/16 13:50 EDT,59.74,50,RFS,85GA02S02,4.7,
1985,Apr,Michigan,MI11,1985/04/16 13:50 EDT,99.97,50,RFS,85GA02S03,7.3,
1985,Apr,Michigan,MI11,1985/04/16 13:50 EDT,109.12,451.5,RFS,85GA02S04,4.5,
1985,Apr,Michigan,MI11,1985/04/16 13:50 EDT,117.04,520,RFS,85GA02S05,4.9,
1985,Aug,Michigan,MI11,1985/08/20 18:18 EDT,0.91,100,RFS,85GA04S01,1.7,
1985,Aug,Michigan,MI11,1985/08/20 18:18 EDT,17.37,200,RFS,85GA04S02,1.7,
1985,Aug,Michigan,MI11,1985/08/20 18:18 EDT,21.03,300,RFS,85GA04S03,3.5,
1985,Aug,Michigan,MI11,1985/08/20 18:18 EDT,33.53,350,RFS,85GA04S04,2.7,
1985,Aug,Michigan,MI11,1985/08/20 18:18 EDT,99.97,400,RFS,85GA04S05,4.5,
1985,Aug,Michigan,MI11,1985/08/20 18:18 EDT,110.95,450,RFS,85GA04S06,8.2,
1985,Aug,Michigan,MI11,1985/08/20 18:18 EDT,118.87,500,RFS,85GA04S07,8.7,
1985,Aug,Michigan,MI11,1985/08/21 19:40 EDT,0.91,100,RFS,85GA05S01,0.7,
1985,Aug,Michigan,MI11,1985/08/21 19:40 EDT,17.07,200,RFS,85GA05S02,1,
1985,Aug,Michigan,MI11,1985/08/21 19:40 EDT,20.73,300,RFS,85GA05S03,0.8,
1985,Aug,Michigan,MI11,1985/08/21 19:40 EDT,45.42,350,RFS,85GA05S04,2,
1985,Aug,Michigan,MI11,1985/08/21 19:40 EDT,99.97,400,RFS,85GA05S05,2.3,
1985,Aug,Michigan,MI11,1985/08/21 19:40 EDT,115.21,450,RFS,85GA05S06,4.5,
1985,Aug,Michigan,MI11,1985/08/21 19:40 EDT,120.7,500,RFS,85GA05S07,5,
1985,May,Michigan,MI11,1985/05/02 10:55 EDT,0.91,50,RFS,85GA03S01,5,
1985,May,Michigan,MI11,1985/05/02 10:55 EDT,60.66,50,RFS,85GA03S02,5.5,
1985,May,Michigan,MI11,1985/05/02 10:55 EDT,99.97,50,RFS,85GA03S03,5.2,
1985,May,Michigan,MI11,1985/05/02 10:55 EDT,114.6,451.5,RFS,85GA03S04,7.2,
1985,May,Michigan,MI11,1985/05/02 10:55 EDT,119.48,520,RFS,85GA03S05,5.2,
1985,Sep,Michigan,MI11,1985/09/01 13:30 EDT,1.52,100,RFS,85GA06S01,2.3,
1985,Sep,Michigan,MI11,1985/09/01 13:30 EDT,12.5,200,RFS,85GA06S02,1.8,
1985,Sep,Michigan,MI11,1985/09/01 13:30 EDT,23.16,300,RFS,85GA06S03,3.6,
1985,Sep,Michigan,MI11,1985/09/01 13:30 EDT,39.62,350,RFS,85GA06S04,2.5,
1985,Sep,Michigan,MI11,1985/09/01 13:30 EDT,101.5,400,RFS,85GA06S05,6,
1985,Sep,Michigan,MI11,1985/09/01 13:30 EDT,109.12,450,RFS,85GA06S06,6,
1985,Sep,Michigan,MI11,1985/09/01 13:30 EDT,117.65,500,RFS,85GA06S07,7.5,
1986,Apr,Michigan,MI11,1986/04/12 12:35 EDT,0.91,50,RFS,86GA01S01,4.5,
1986,Apr,Michigan,MI11,1986/04/12 12:35 EDT,60.96,50,RFS,86GA01S02,5.7,
1986,Apr,Michigan,MI11,1986/04/12 12:35 EDT,99.97,50,RFS,86GA01S03,5.1,
1986,Apr,Michigan,MI11,1986/04/12 12:35 EDT,110.95,450.5,RFS,86GA01S04,6.5,
1986,Apr,Michigan,MI11,1986/04/12 12:35 EDT,117.96,505,RFS,86GA01S05,6.2,
1986,Aug,Michigan,MI11,1986/08/01 00:15 EDT,0.91,100,RFS,86GA03S01,4.8,
1986,Aug,Michigan,MI11,1986/08/01 00:15 EDT,7.92,200,RFS,86GA03S02,7,
1986,Aug,Michigan,MI11,1986/08/01 00:15 EDT,14.94,300,RFS,86GA03S03,5.4,
1986,Aug,Michigan,MI11,1986/08/01 00:15 EDT,27.43,350,RFS,86GA03S04,10.1,
1986,Aug,Michigan,MI11,1986/08/01 00:15 EDT,103.02,450,RFS,86GA03S05,8.6,
1986,Aug,Michigan,MI11,1986/08/01 00:15 EDT,119.79,500,RFS,86GA03S06,14.6,
1986,Aug,Michigan,MI11,1986/08/22 14:57 EDT,0.91,100,RFS,86GA04S01,2.5,
1986,Aug,Michigan,MI11,1986/08/22 14:57 EDT,9.14,200,RFS,86GA04S02,2.6,
1986,Aug,Michigan,MI11,1986/08/22 14:57 EDT,15.54,300,RFS,86GA04S03,4.3,
1986,Aug,Michigan,MI11,1986/08/22 14:57 EDT,28.04,350,RFS,86GA04S04,6.2,
1986,Aug,Michigan,MI11,1986/08/22 14:57 EDT,99.67,400,RFS,86GA04S05,3.6,
1986,Aug,Michigan,MI11,1986/08/22 14:57 EDT,111.56,450,RFS,86GA04S06,6.7,
1986,Aug,Michigan,MI11,1986/08/22 14:57 EDT,119.48,500,RFS,86GA04S07,9.7,
1986,May,Michigan,MI11,1986/05/04 07:40 EDT,0.91,50,RFS,86GA02S01,6,
1986,May,Michigan,MI11,1986/05/04 07:40 EDT,60.96,50,RFS,86GA02S02,NA,NA-QC
1986,May,Michigan,MI11,1986/05/04 07:40 EDT,111.25,450.5,RFS,86GA02S03,6,
1986,May,Michigan,MI11,1986/05/04 07:40 EDT,119.48,505,RFS,86GA02S04,6.1,
1987,Apr,Michigan,MI11,1987/04/11 22:21 EDT,0.91,50,RFS,87GA02S01,5.3,
1987,Apr,Michigan,MI11,1987/04/11 22:21 EDT,59.44,50,RFS,87GA02S02,5.3,
1987,Apr,Michigan,MI11,1987/04/11 22:21 EDT,108.2,450.5,RFS,87GA02S03,5.8,
1987,Apr,Michigan,MI11,1987/04/11 22:21 EDT,117.04,505,RFS,87GA02S04,5.2,
1987,Apr,Michigan,MI11,1987/04/13 00:10 EDT,0.91,50,RFS,87GA03S01,5.4,
1987,Apr,Michigan,MI11,1987/04/13 00:10 EDT,60.96,50,RFS,87GA03S02,5.7,
1987,Apr,Michigan,MI11,1987/04/13 00:10 EDT,99.97,50,RFS,87GA03S03,5.2,
1987,Apr,Michigan,MI11,1987/04/13 00:10 EDT,112.17,450.5,RFS,87GA03S04,6.6,
1987,Apr,Michigan,MI11,1987/04/13 00:10 EDT,120.09,505,RFS,87GA03S05,7.9,
1987,Aug,Michigan,MI11,1987/08/24 06:40 EDT,0.91,100,RFS,87GA04S01,3.1,
1987,Aug,Michigan,MI11,1987/08/24 06:40 EDT,12.19,200,RFS,87GA04S02,2.4,
1987,Aug,Michigan,MI11,1987/08/24 06:40 EDT,18.29,300,RFS,87GA04S03,3.8,
