YEAR,MONTH,LENGTH,SEX,MAT,AGE
1984,6,73,M,I,1
1984,6,71,M,I,1
1984,6,80,M,I,1
1984,6,92,M,I,1
1984,6,103,M,I,1
1984,6,65,M,I,1
1984,6,96,M,I,1
1984,6,89,M,I,1
1984,6,76,M,I,1
1984,6,63,M,I,1
1984,6,146,M,I,2
1984,6,87,M,I,1
1984,6,67,M,I,1
1984,6,69,M,I,1
1984,6,154,M,M,2
1984,6,208,M,M,4
1984,6,129,M,M,2
1984,6,119,M,M,2
1984,6,131,M,M,2
1984,6,109,M,M,2
1984,6,99,M,M,1
1984,6,190,M,M,4
1984,6,177,M,M,3
1984,6,197,M,M,4
1984,6,180,M,M,4
1984,6,187,M,M,4
1984,6,206,M,M,4
1984,6,175,M,M,3
1984,6,243,M,M,4
1984,6,121,M,M,2
1984,6,116,M,M,2
1984,6,179,M,M,3
1984,6,123,M,M,2
1984,6,139,M,M,2
1984,6,134,M,M,2
1984,6,151,M,M,3
1984,6,107,M,M,2
1984,6,111,M,M,2
1984,6,190,M,M,4
1984,6,213,M,M,4
1984,6,195,M,M,4
1984,6,113,M,M,2
1984,6,170,M,M,3
1984,6,94,M,M,1
1984,6,79,M,M,1
1984,6,158,M,M,3
1984,6,101,M,M,1
1984,6,125,M,M,2
1984,6,136,M,M,2
1985,6,80,M,I,1
1985,6,146,M,M,2
1985,6,138,M,M,2
1985,6,93,M,M,2
1985,6,97,M,M,2
1985,6,275,M,M,5
1985,6,211,M,M,5
1985,6,168,M,M,3
1985,6,174,M,M,3
1985,6,182,M,M,4
1985,6,180,M,M,4
1985,6,192,M,M,4
1985,6,177,M,M,3
1985,6,179,M,M,3
1985,6,165,M,M,3
1985,6,190,M,M,4
1985,6,160,M,M,4
1985,6,156,M,M,3
1985,6,155,M,M,3
1985,6,153,M,M,2
1985,6,125,M,M,2
1985,6,138,M,M,3
1985,6,125,M,M,2
1985,6,119,M,M,2
1985,6,110,M,M,2
1985,6,113,M,M,2
1985,6,110,M,M,2
1985,6,109,M,M,2
1985,6,108,M,M,2
1985,6,105,M,M,1
1985,6,221,M,M,4
1985,6,211,M,M,4
1985,6,225,M,M,5
1985,6,242,M,M,5
1985,6,205,M,M,4
1985,6,210,M,M,4
1985,6,204,M,M,4
1985,6,165,M,M,3
1985,6,185,M,M,3
1985,6,135,M,M,2
1985,6,188,M,M,4
1985,6,207,M,M,4
1985,6,137,M,M,2
1985,6,138,M,M,2
1985,6,124,M,M,2
1985,6,178,M,M,3
1985,6,195,M,M,4
1985,6,192,M,M,4
1985,6,184,M,M,4
1985,6,170,M,M,3
1985,6,185,M,M,3
1985,6,120,M,M,2
1985,6,158,M,M,3
1985,6,179,M,M,3
1985,6,100,M,M,1
1985,6,191,M,M,4
1985,6,160,M,M,3
1985,6,152,M,M,3
1985,6,140,M,M,2
1985,6,125,M,M,2
1985,6,120,M,M,2
1985,6,85,M,M,1
1985,6,92,M,M,1
1985,6,107,M,M,2
1985,6,101,M,M,1
1985,6,100,M,M,2
1985,6,115,M,M,2
1985,6,106,M,M,1
1985,6,117,M,M,2
1985,6,115,M,M,2
1985,6,141,M,M,2
1985,6,145,M,M,2
1985,6,145,M,M,2
1985,6,148,M,M,3
1985,6,205,M,M,4
1985,6,208,M,M,4
1985,6,200,M,M,4
1985,6,135,M,M,2
1985,6,80,M,M,1
1986,6,69,M,I,1
1986,6,78,M,I,1
1986,6,70,M,I,1
1986,6,79,M,I,1
1986,6,76,M,I,1
1986,6,81,M,I,1
1986,6,65,M,I,1
1986,6,98,M,I,1
1986,6,88,M,I,1
1986,6,71,M,I,1
1986,6,85,M,I,1
1986,6,74,M,I,1
1986,6,72,M,I,1
1986,6,73,M,I,1
1986,6,75,M,I,1
1986,6,68,M,I,1
1986,6,66,M,I,1
1986,6,64,M,I,1
1986,6,110,M,I,2
1986,6,105,M,I,2
1986,6,80,M,I,2
1986,6,99,M,I,2
1986,6,87,M,I,2
1986,6,93,M,I,2
1986,6,144,M,I,2
1986,6,108,M,I,2
1986,6,103,M,I,2
1986,6,128,M,I,2
1986,6,95,M,I,2
1986,6,83,M,I,2
1986,6,94,M,I,2
1986,6,122,M,I,2
1986,6,127,M,I,2
1986,6,126,M,I,2
1986,6,115,M,I,2
1986,6,112,M,I,2
1986,6,96,M,I,2
1986,6,120,M,M,2
1986,6,140,M,M,2
1986,6,116,M,M,2
1986,6,130,M,M,2
1986,6,137,M,M,2
1986,6,133,M,M,2
1986,6,132,M,M,2
1986,6,145,M,M,2
1986,6,111,M,M,2
1986,6,141,M,M,2
1986,6,134,M,M,2
1986,6,107,M,M,2
1986,6,138,M,M,2
1986,6,146,M,M,2
1986,6,142,M,M,2
1986,6,121,M,M,2
1986,6,131,M,M,2
1986,6,109,M,M,2
1986,6,106,M,M,2
1986,6,177,M,M,3
1986,6,148,M,M,3
1986,6,160,M,M,3
1986,6,152,M,M,3
1986,6,153,M,M,3
1986,6,150,M,M,3
1986,6,155,M,M,3
1986,6,178,M,M,3
1986,6,167,M,M,3
1986,6,159,M,M,3
1986,6,158,M,M,3
1986,6,164,M,M,3
1986,6,161,M,M,3
1986,6,175,M,M,3
1986,6,166,M,M,3
1986,6,163,M,M,3
1986,6,170,M,M,3
1986,6,176,M,M,3
1986,6,206,M,M,4
1986,6,199,M,M,4
1986,6,189,M,M,4
1986,6,187,M,M,4
1986,6,185,M,M,4
1986,6,168,M,M,4
1986,6,200,M,M,4
1986,6,201,M,M,4
1986,6,209,M,M,4
1986,6,198,M,M,4
1986,6,204,M,M,4
1986,6,207,M,M,4
1986,6,186,M,M,4
1986,6,180,M,M,4
1986,6,188,M,M,4
1986,6,190,M,M,4
1986,6,195,M,M,4
1986,6,212,M,M,5
1986,6,203,M,M,5
1986,6,218,M,M,5
1987,6,132,M,I,2
1987,6,118,M,I,2
1987,6,135,M,I,3
1987,6,117,M,I,2
1987,6,105,M,I,2
1987,6,312,M,M,7
1987,6,192,M,M,5
1987,6,210,M,M,4
1987,6,198,M,M,4
1987,6,173,M,M,2
1987,6,191,M,M,4
1987,6,206,M,M,4
1987,6,193,M,M,4
1987,6,188,M,M,4
1987,6,192,M,M,4
1987,6,185,M,M,3
1987,6,176,M,M,4
1987,6,173,M,M,4
1987,6,233,M,M,6
1987,6,224,M,M,5
1987,6,220,M,M,5
1987,6,174,M,M,3
1987,6,185,M,M,4
1987,6,205,M,M,5
1987,6,208,M,M,5
1987,6,185,M,M,4
1987,6,178,M,M,4
1987,6,201,M,M,5
1987,6,200,M,M,4
1987,6,211,M,M,5
1987,6,225,M,M,5
1987,6,151,M,M,3
1987,6,145,M,M,3
1987,6,155,M,M,4
1987,6,113,M,M,2
1987,6,129,M,M,2
1987,6,119,M,M,2
1987,6,161,M,M,4
1987,6,153,M,M,3
1987,6,169,M,M,4
1987,6,139,M,M,3
1987,6,134,M,M,2
1987,6,122,M,M,2
1987,6,165,M,M,4
1987,6,153,M,M,3
1987,6,142,M,M,3
1987,6,129,M,M,3
1987,6,219,M,M,4
1987,6,166,M,M,3
1987,6,217,M,M,5
1987,6,166,M,M,3
1987,6,245,M,M,6
1987,6,148,M,M,4
1987,6,234,M,M,6
1987,6,195,M,M,5
1987,6,187,M,M,5
1987,6,200,M,M,4
1987,6,191,M,M,4
1987,6,182,M,M,3
1987,6,180,M,M,4
1987,6,199,M,M,4
1987,6,192,M,M,4
1987,6,193,M,M,5
1987,6,203,M,M,4
1987,6,188,M,M,4
1987,6,213,M,M,5
1987,6,226,M,M,6
1987,6,212,M,M,5
1987,6,157,M,M,3
1987,6,204,M,M,5
1987,6,205,M,M,5
1987,6,204,M,M,6
1987,6,213,M,M,5
1987,6,212,M,M,5
1987,6,213,M,M,6
1987,6,177,M,M,5
1987,6,143,M,M,3
1987,6,176,M,M,4
1987,6,169,M,M,3
1987,6,177,M,M,4
1987,6,165,M,M,3
1987,6,171,M,M,5
1987,6,174,M,M,4
1987,6,169,M,M,3
1987,6,152,M,M,3
1987,6,159,M,M,3
1987,6,139,M,M,3
1987,6,168,M,M,3
1987,6,160,M,M,4
1987,6,148,M,M,3
1987,6,156,M,M,3
1987,6,149,M,M,3
1987,6,140,M,M,2
1987,6,134,M,M,3
1987,6,136,M,M,3
1987,6,125,M,M,2
1987,6,116,M,M,2
1987,6,228,M,M,6
1987,6,220,M,M,5
1988,6,78,M,I,1
1988,6,83,M,I,1
1988,6,74,M,I,1
1988,6,124,M,I,2
1988,6,121,M,I,2
1988,6,127,M,I,2
1988,6,118,M,I,2
1988,6,135,M,I,2
1988,6,152,M,I,3
1988,6,103,M,M,1
1988,6,88,M,M,1
1988,6,125,M,M,2
1988,6,144,M,M,2
1988,6,134,M,M,2
1988,6,93,M,M,2
1988,6,96,M,M,2
1988,6,107,M,M,2
1988,6,148,M,M,2
1988,6,149,M,M,2
1988,6,112,M,M,2
1988,6,135,M,M,2
1988,6,149,M,M,3
1988,6,168,M,M,3
1988,6,157,M,M,3
1988,6,151,M,M,3
1988,6,131,M,M,3
1988,6,166,M,M,3
1988,6,201,M,M,4
1988,6,183,M,M,4
1988,6,193,M,M,4
1988,6,168,M,M,4
1988,6,182,M,M,4
1988,6,175,M,M,4
1988,6,164,M,M,4
1988,6,159,M,M,4
1988,6,177,M,M,4
1988,6,170,M,M,4
1988,6,202,M,M,5
1988,6,188,M,M,5
1988,6,191,M,M,5
1988,6,190,M,M,5
1988,6,192,M,M,5
1988,6,206,M,M,5
1988,6,202,M,M,5
1988,6,205,M,M,5
1988,6,186,M,M,5
1988,6,187,M,M,5
1988,6,195,M,M,5
1988,6,179,M,M,5
1988,6,213,M,M,6
1989,6,123,M,I,2
1989,6,81,M,I,1
1989,6,75,M,I,1
1989,6,77,M,I,1
1989,6,83,M,I,1
1989,6,91,M,I,1
1989,6,92,M,I,1
1989,6,65,M,I,1
1989,6,69,M,I,1
1989,6,117,M,I,2
1989,6,102,M,I,1
1989,6,71,M,I,1
1989,6,115,M,I,2
1989,6,175,M,I,6
1989,6,85,M,I,1
1989,6,66,M,I,1
1989,6,102,M,I,1
1989,6,65,M,I,1
1989,6,106,M,I,1
1989,6,112,M,I,2
1989,6,115,M,I,2
1989,6,122,M,I,2
1989,6,151,M,I,4
1989,6,129,M,I,3
1989,6,92,M,I,1
1989,6,144,M,I,4
1989,6,134,M,I,3
1989,6,156,M,I,4
1989,6,114,M,I,2
1989,6,100,M,I,1
1989,6,140,M,I,2
1989,6,203,M,I,6
1989,6,88,M,I,1
1989,6,103,M,I,1
1989,6,105,M,I,1
1989,6,194,M,M,8
1989,6,200,M,M,7
1989,6,225,M,M,9
1989,6,141,M,M,2
1989,6,212,M,M,7
1989,6,212,M,M,8
1989,6,214,M,M,8
1989,6,183,M,M,8
1989,6,188,M,M,7
1989,6,183,M,M,7
1989,6,230,M,M,9
1989,6,228,M,M,10
1989,6,200,M,M,6
1989,6,214,M,M,9
1989,6,169,M,M,6
1989,6,155,M,M,7
1989,6,82,M,M,1
1989,6,121,M,M,3
1989,6,107,M,M,1
